Word1	Word2	Score
振りかける	くすぐる	1.146012654214257
解放する	慰める	1.26649810618636
危険にさらす	偏らせる	1.2891454547751142
打つ	失敗する	1.24886160597773
悩ます	防御する	1.2984236888389937
創造する	覆う	1.093504249617099
行う	繁盛する	0.8113831970366543
する	餌を与える	0.7798795786563272
抱きしめる	描く	1.4746409229337087
練習する	制限する	1.2213805318471165
懇願する	拒絶する	1.2529535498969036
異なる	崩壊させる	0.865069509470976
訴える	表現する	1.1865606701244613
作る	準備する	0.8240893323011419
虐待する	偏らせる	1.281525643429218
治す	信じる	0.9306861287130477
こぼす	塗る	0.7925115993808713
掘る	広げる	0.9949920212409689
移す	跳ぶ	1.2867398887501817
し損なう	非難する	0.9456497987824183
揺れる	跳ぶ	0.8393753954952411
あせる	もたらす	1.0088029619363645
裸にする	走る	1.2428835115410621
提案する	ひらめく	0.9875609247009863
刈り込む	組み立てる	0.9135208281549045
いじめる	ぶつかる	0.5818284883566832
ぎらぎら光る	うたた寝する	1.0759020834825803
呼吸する	もたらす	1.213747370189426
まさる	負かす	0.7252720377638696
促す	批評する	1.181352977368631
採用する	与える	1.2032511003494613
吐く	見る	1.059520452436486
飾る	成長する	0.794333948719353
だめにする	孵化する	1.1284321641158714
くじく	噛む	0.9827698878519375
拒絶する	憧れる	1.2318424066631455
許さない	頼る	1.03462640627294
押し潰す	ぼやけさせる	1.1579630971018056
勉強する	意味する	0.9225471256043959
あせる	狼狽させる	0.7222421973835185
買う	行う	0.9016263463100281
急ぐ	出発する	0.9812813654196614
傾く	はためく	1.1798958488843676
除去する	噴火する	1.0533149315286747
助ける	抗議する	1.1070503863481251
あざ笑う	攻撃する	0.6429215772114288
話す	知らせる	0.5524330205472479
弾む	つまずく	0.8133885723921377
叱責する	誓う	1.0947048072520158
掛ける	元に戻す	1.0563472520062813
面する	助言する	1.0428315512873385
成長する	いびきをかく	1.0784885900174253
騙す	ごちゃ混ぜにする	1.0345509014651917
面する	分解する	1.0110469887002682
溺死する	叩く	1.3598095981427312
危険にさらす	壊す	0.8736543534481083
塞ぐ	通り過ぎる	1.1082385755867423
シャッフルする	悩ます	0.9541552971187225
届く	繁盛する	0.9055715801636103
燃える	浸食する	0.7125303898282995
祝う	絶望する	1.2982753151013942
歩き回る	はぐれる	0.8982769675161411
働く	登録する	0.6308260817853512
選ぶ	関連づける	0.7558942035760428
勝利する	課す	1.0377172089698217
キスする	信じる	1.064553038813583
再生利用する	施行する	0.8381160191420935
横たえる	下りる	0.7949779335765129
引っ込める	急ぐ	1.2550038472470928
張る	捧げる	1.4133725921943814
刺す	禁止する	1.0984077808616142
書く	注意する	0.9085194103088055
教える	挑む	1.4217879696162277
失望させる	当惑させる	0.5019137434503971
抱きしめる	吐く	0.9974655642687457
散布する	責める	1.063458929111096
減らす	元に戻す	1.034086273793496
蹴る	散布する	1.2487861956035895
複製する	おろす	1.1549233040500226
値切る	放棄する	1.0403159379502305
登る	動かす	0.8313588829151893
散らかす	消える	0.9048804353058626
覆う	つかみ取る	0.6770294397872464
滑る	排出する	0.8674375042523879
修理する	建てる	0.7996231287824316
授与する	保つ	1.1666850054060145
許す	祝福する	0.9731907765253344
強奪する	曇らせる	1.2087633129844162
咳をする	におう	0.74547516529636
立つ	出席する	0.9633208330963173
すすぐ	振りかける	0.8583722392022102
評価する	覚えている	1.4134015454106381
叱責する	尋ねる	0.9564399557516174
慰める	防護する	0.9233227858724091
攻撃する	誘拐する	0.611785738773294
避ける	ぶつかる	0.9277165426536294
吐き出す	成長する	1.1035626129855167
必要とする	救う	0.8489324856303933
タックルする	運ぶ	1.1377392452928154
信じる	頼る	0.8276879691719822
囀る	吠える	0.7608741923117369
折りたたむ	編む	1.084419277759627
耕す	おろす	1.1257905251890392
退却する	動かす	1.145607973857381
吸う	汗をかく	0.918502493662633
かわす	座る	1.1760567934256652
刈る	建てる	0.9445610983186377
動く	立つ	0.5911782194425894
打つ	殴る	0.24124880685019492
減じる	除去する	1.0220034678371905
狩る	反逆する	1.2738602022616614
励ます	張る	1.194169184061305
種をまく	印刷する	0.9732149717734805
起きる	発汗する	0.970963958026671
印刷する	すすぐ	1.2149390021223878
提案する	仕える	1.105933353525005
禁止する	評価する	0.9175137711515666
出席する	かわす	1.286438483732082
導く	はためく	1.3417968984691768
奪う	利用する	1.1362893406806724
なめる	起こす	0.7617590397421208
無効にする	下げる	1.0366639495671381
堕落させる	反対する	1.1242270242989088
あざ笑う	曇らせる	1.031762964742691
発表する	なだめる	1.0705567441175288
